Title,Cast and crew,genres
Rent-A-Pal,"Jon Stevenson (director/screenplay); Wil Wheaton, Brian Landis Folkins, Kathleen Brady, Amy Rutledge, Adrian Egolf",Horror Thriller
Cats & Dogs 3: Paws Unite!,"Sean McNamara (director); Scott Bindley (screenplay); Melissa Rauch, Max Greenfield, George Lopez",Comedy Action
The Secrets We Keep,"Yuval Adler (director/screenplay); Ryan Covington (screenplay); Noomi Rapace, Joel Kinnaman, Chris Messina",Thriller
Antebellum,"Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe",Horror
The Nest,"Sean Durkin (director/screenplay); Jude Law, Carrie Coon, Charlie Shotwell, Oona Roche, Adeel Akhtar",Drama Romance
Blackbird,"Roger Michell (director); Christian Torpe (screenplay); Susan Sarandon, Kate Winslet, Mia Wasikowska, Lindsay Duncan, Rainn Wilson, Bex Taylor-Klaus, Sam Neill",Drama
Lost Girls & Love Hotels,"William Olsson (director); Catherine Hanrahan (screenplay); Alexandra Daddario, Takehiro Hira, Carice van Houten",Drama
Killian & the Comeback Kids,"Taylor A. Purdee (director/screenplay); Taylor A. Purdee, John Donchak, Nathan Purdee, Kassie DePaiva",
Enola Holmes,"Harry Bradbeer (director); Jack Thorne (screenplay); Millie Bobby Brown, Henry Cavill, Sam Claflin, Adeel Akhtar, Fiona Shaw, Frances de la Tour, Louis Partridge, Susie Wokoma, Helena Bonham Carter",Crime Drama Mystery
The Trial of the Chicago 7,"Aaron Sorkin (director/screenplay); Yahya Abdul-Mateen II, Sacha Baron Cohen, Danny Flaherty, Joseph Gordon-Levitt, Michael Keaton, Frank Langella, John Carroll Lynch, Eddie Redmayne, Noah Robbins, Mark Rylance, Alex Sharp, Jeremy Strong",Drama History Thriller
Ava,"Tate Taylor (director); Matthew Newton (screenplay); Jessica Chastain, John Malkovich, Common, Geena Davis, Colin Farrell, Ioan Gruffudd, Joan Chen",Action Crime Drama Thriller
Kajillionaire,"Miranda July (director/screenplay); Evan Rachel Wood, Richard Jenkins, Debra Winger, Gina Rodriguez",Crime Drama Comedy
The Last Shift,"Andrew Cohn (director/screenplay); Richard Jenkins, Shane Paul McGhie, Da'Vine Joy Randolph, Birgundi Baker, Allison Tolman, Ed O'Neill",Comedy Drama
Secret Society of Second-Born Royals,"Anna Mastro (director); Alex Litvak, Andrew Green (screenplay); Peyton Elizabeth Lee, Skylar Astin, Élodie Yung",Action Adventure Comedy Fantasy
She's in Portland,"Marc Carlini (director/screenplay); Patrick Alexander (screenplay); Tommy Dewey, François Arnaud, Minka Kelly",Comedy Drama
Sightless,"Cooper Karl (director/screenplay); Madelaine Petsch, Alexander Koch",Thriller
The Boys in the Band,"Joe Mantello (director); Mart Crowley (screenplay); Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesus, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins",Drama
The Glorias,"Julie Taymor (director/screenplay); Sarah Ruhl (screenplay); Julianne Moore, Alicia Vikander, Timothy Hutton, Lorraine Toussaint, Janelle Monáe, Bette Midler",Drama
On the Rocks,"Sofia Coppola (director/screenplay); Rashida Jones, Bill Murray, Marlon Wayans, Jessica Henwick, Jenny Slate",Drama Comedy
Spontaneous,"Brian Duffield (director/screenplay); Katherine Langford, Charlie Plummer, Hayley Law, Piper Perabo, Rob Huebel, Yvonne Orji",Comedy Horror
Vampires vs. the Bronx,"Osmany Rodriguez (director/screenplay); Blaise Hemingway (screenplay); Jaden Michael, Gerald W. Jones III, Gregory Diaz IV, Sarah Gadon, Coco Jones, The Kid Mero, Method Man, Chris Redd, Shea Whigham",Comedy Horror
Possessor,"Brandon Cronenberg (director/screenplay); Andrea Riseborough, Christopher Abbott, Rossif Sutherland, Tuppence Middleton, Sean Bean, Jennifer Jason Leigh",Thriller Science Fiction Horror
Death of Me,"Darren Lynn Bousman (director); Arli Margolis, James Morley III, David Tish (screenplay); Maggie Q, Alex Essoe, Luke Hemsworth",Horror Mystery
The Call,"Timothy Woodward Jr. (director); Patrick Stibbs (screenplay); Lin Shaye, Tobin Bell",Crime Thriller
American Pie Presents: Girls' Rules,"Mike Elliott (director); David H. Steinberg, Blayne Weaver (screenplay); Madison Pettis, Lizze Broadway, Piper Curda, Natasha Behnam, Darren Barnet, Zachary Gordon",Comedy
The Lie,"Veena Sud (director/screenplay); Mireille Enos, Peter Sarsgaard, Joey King",Drama Horror Mystery Thriller
Black Box,"Emmanuel Osei-Kuffour Jr. (director/screenplay); Stephen Herman (screenplay); Mamoudou Athie, Phylicia Rashad",Horror Science Fiction Thriller
Hubie Halloween,"Steven Brill (director); Adam Sandler, Tim Herlihy (screenplay); Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Rob Schneider, June Squibb, Kenan Thompson, Shaquille O'Neal, Steve Buscemi, Maya Rudolph",Comedy Fantasy Mystery Horror
Books of Blood,"Brannon Braga (director/screenplay); Adam Simon (screenplay); Britt Robertson, Anna Friel, Rafi Gavron, Yul Vazquez",Horror Science Fiction
Charm City Kings,"Angel Manuel Soto (director); Sherman Payne (screenplay); Jahi Di'Allo Winston, Meek Mill, Will Catlett, Teyonah Parris",Drama
The War with Grandpa,"Tim Hill (director); Tom J. Astle, Matt Ember (screenplay); Robert De Niro, Uma Thurman, Rob Riggle, Oakes Fegley, Cheech Marin, Jane Seymour, Christopher Walken",Comedy Family Drama
A Rainy Day in New York,"Woody Allen (director/screenplay); Timothée Chalamet, Elle Fanning, Selena Gomez, Jude Law, Diego Luna, Liev Schreiber",Comedy Romance
Yellow Rose,"Diane Paragas (director/screenplay); Annie J. Howell, Celena Cipriaso (screenplay); Eva Noblezada, Dale Watson, Princess Punzalan, Lea Salonga",Drama Music
The 40-Year-Old Version,"Radha Blank (director/screenplay); Radha Blank, Peter Kim, Oswin Benjamin, Reed Birney",Comedy Drama
Nocturne,"Zu Quirke (director/screenplay); Sydney Sweeney, Madison Iseman, Jacques Colimon, Ivan Shaw",Horror Mystery Thriller
Evil Eye,"Elan Dassani, Rajeev Dassani (directors); Madhuri Shekar (screenplay); Sarita Choudhury, Sunita Mani, Omar Maskati, Bernard White",Mystery Thriller
A Babysitter's Guide to Monster Hunting,"Rachel Talalay (director); Joe Ballarini (screenplay); Tamara Smart, Oona Laurence, Tom Felton, Indya Moore",Family Fantasy Adventure Comedy
Love and Monsters,"Michael Matthews (director); Matthew Robinson, Brian Duffield (screenplay); Dylan O'Brien, Jessica Henwick, Dan Ewing, Ariana Greenblatt, Michael Rooker",Comedy Science Fiction Action Adventure
Honest Thief,"Mark Williams (director/screenplay); Steve Allrich (screenplay); Liam Neeson, Kate Walsh, Robert Patrick, Anthony Ramos, Jeffrey Donovan, Jai Courtney",Thriller Action Crime Drama
Clouds,"Justin Baldoni (director); Kara Holden (screenplay); Fin Argus, Sabrina Carpenter, Madison Iseman, Lil Rel Howery, Neve Campbell, Tom Everett Scott",Music Drama Romance
The Kid Detective,"Evan Morgan (director/screenplay); Adam Brody, Sophie Nélisse, Tzi Ma, Wendy Crewson, Sarah Sutherland",Comedy Drama Crime Mystery
Alone,"Johnny Martin (director); Matt Naylor (screenplay); Tyler Posey, Summer Spiro, Robert Ri'chard, Donald Sutherland",Thriller Horror Drama
2 Hearts,"Lance Hool (director); Veronica Hool, Robin U. Russin (screenplay); Jacob Elordi, Adan Canto, Tiera Skovbye, Radha Mitchell",Drama Romance
The Opening Act,"Steve Byrne (director/screenplay); Jimmy O. Yang, Alex Moffat, Cedric the Entertainer",Comedy
Tremors: Shrieker Island,"Don Michael Paul (director/screenplay); Brian Brightly (screenplay); Michael Gross, Jon Heder",Action Horror
The Witches,"Robert Zemeckis (director/screenplay); Kenya Barris, Guillermo del Toro (screenplay); Anne Hathaway, Octavia Spencer, Stanley Tucci, Jahzir Bruno, Codie-Lei Eastick, Kristin Chenoweth, Chris Rock",Family Fantasy Adventure Comedy Horror
Over the Moon,"Glen Keane (director); Audrey Wells (screenplay); Cathy Ang, Phillipa Soo, Ken Jeong, John Cho, Ruthie Ann Miles, Margaret Cho, Sandra Oh",Animation Adventure Family Fantasy
Borat Subsequent Moviefilm,"Jason Woliner (director); Peter Baynham, Sacha Baron Cohen, Jena Friedman, Anthony Hines, Lee Kern, Dan Mazer, Erica Rivinoja, Dan Swimer (screenplay); Sacha Baron Cohen, Maria Bakalova",Comedy
After We Collided,"Roger Kumble (director); Anna Todd, Mario Celaya (screenplay); Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Shane Paul McGhie, Candice King, Khadijha Red Thunder, Inanna Sarkis, Samuel Larsen, Selma Blair",Romance Drama
The Empty Man,"David Prior (director/screenplay); James Badge Dale, Marin Ireland, Stephen Root, Ron Canada, Robert Aramayo, Joel Courtney, Sasha Frolova",Horror Crime Drama
Synchronic,"Justin Benson, Aaron Moorhead (directors) Justin Benson (screenplay); Anthony Mackie, Jamie Dornan",Science Fiction Drama Thriller
Children of the Corn,"Kurt Wimmer (director/screenplay); Elena Kampouris, Kate Moyer, Callan Mulvey, Bruce Spence",Horror Thriller
Bad Hair,"Justin Simien (director/screenplay); Elle Lorraine, Vanessa Williams, Jay Pharoah, Lena Waithe, Blair Underwood, Laverne Cox",TV Movie Adventure Comedy
Friendsgiving,"Nicol Paone (director/screenplay); Malin Åkerman, Kat Dennings, Aisha Tyler, Chelsea Peretti, Ryan Hansen",Comedy
The Craft: Legacy,"Zoe Lister-Jones (director/screenplay); Cailee Spaeny, Gideon Adlon, Lovie Simone, Zoey Luna, Michelle Monaghan, David Duchovny",Horror Drama Fantasy
Holidate,"John Whitesell (director); Tiffany Paulsen (screenplay); Emma Roberts, Luke Bracey, Kristin Chenoweth",Comedy Romance
Come Play,"Jacob Chase (director/screenplay); Gillian Jacobs, John Gallagher Jr., Azhy Robertson, Winslow Fegley",Horror Mystery
His House,"Remi Weekes (director/screenplay); Wunmi Mosaku. Sope Dirisu, Matt Smith",Drama Horror Thriller
Spell,"Mark Tonderai (director); Kurt Wimmer (screenplay); Omari Hardwick, Loretta Devine",Thriller Horror
Jungleland,"Max Winkler (director/screenplay); Theodore B. Bressman, David Branson Smith (screenplay); Charlie Hunnam, Jack O'Connell, Jessica Barden, Jonathan Majors, John Cullum",Drama
Let Him Go,"Thomas Bezucha (director/screenplay); Diane Lane, Kevin Costner, Lesley Manville, Will Brittain, Jeffrey Donovan",Drama Thriller Crime
The Informer,"Andrea Di Stefano (director/screenplay); Matt Cook, Rowan Joffe (screenplay); Joel Kinnaman, Rosamund Pike, Common, Ana de Armas, Clive Owen",Drama Crime Thriller
The Dark and the Wicked,"Bryan Bertino (director/screenplay); Marin Ireland, Michael Abbott Jr., Xander Berkeley",Horror
Hillbilly Elegy,"Ron Howard (director); Vanessa Taylor (screenplay); Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett, Freida Pinto, Bo Hopkins, Owen Asztalos",Drama Comedy
Mank,"David Fincher (director); Jack Fincher (screenplay); Gary Oldman, Amanda Seyfried, Lily Collins, Arliss Howard, Tom Pelphrey, Sam Troughton, Ferdinand Kingsley, Tuppence Middleton, Tom Burke, Joseph Cross, Jamie McShane, Toby Leonard Moore, Monika Gossmann, Charles Dance",Drama History
Freaky,"Christopher Landon (director/screenplay); Michael Kennedy (screenplay); Vince Vaughn, Kathryn Newton, Katie Finneran, Celeste O'Connor, Misha Osherovich, Alan Ruck",Horror Thriller Comedy Fantasy
Jingle Jangle: A Christmas Journey,"David E. Talbert (director/screenplay); Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills, Phylicia Rashad, Ricky Martin",Family Fantasy Music
Dreamland,"Miles Joris-Peyrafitte (director); Nicolaas Zwart (screenplay); Finn Cole, Margot Robbie, Travis Fimmel, Kerry Condon, Darby Camp, Garrett Hedlund, Lola Kirke",Thriller Drama
Fatman,"Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste",Action Comedy Fantasy
The Life Ahead,"Edoardo Ponti (director/screenplay); Ugo Chiti (screenplay); Sophia Loren, Ibrahima Gueye, Abril Zamora, Renato Carpentieri, Babak Karimi",Drama
The Climb,"Michael Angelo Covino (director/screenplay); Kyle Marvin (screenplay); Kyle Marvin, Michael Angelo Covino, Gayle Rankin, Talia Balsam, George Wendt, Judith Godrèche",Comedy Drama
Chick Fight,"Paul Leyden (director); Joseph Downey (screenplay); Malin Åkerman, Bella Thorne, Fortune Feimster, Alec Baldwin",Action Comedy
The Princess Switch: Switched Again,"Michael Rohl (director); Robin Bernheim, Megan Metzger (screenplay); Vanessa Hudgens, Sam Palladio, Nick Sagar",Family Romance Comedy Drama
Run,"Aneesh Chaganty (director/screenplay); Sev Ohanian (screenplay); Sarah Paulson, Kiera Allen, Pat Healy, Sara Sohn",Thriller Horror Drama
Sound of Metal,"Darius Marder (director/screenplay); Abraham Marder (screenplay); Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff, Mathieu Amalric",Drama Music
The Last Vermeer,"Dan Friedkin (director); John Orloff, Mark Fergus and Hawk Ostby (screenplay); Guy Pearce, Claes Bang, Vicky Krieps",Drama
Jiu Jitsu,"Dimitri Logothetis (director/screenplay); James McGrath (screenplay); Alain Moussi, Frank Grillo, JuJu Chan, Tony Jaa, Nicolas Cage",Fantasy Action Science Fiction
Buddy Games,"Josh Duhamel (director/screenplay); Bob Schwartz, Jude Weng (screenplay); Josh Duhamel, Dax Shepard, Olivia Munn",Comedy Drama
The Croods: A New Age,"Joel Crawford (director); Kevin Hageman, Dan Hageman, Paul Fisher, Bob Logan (screenplay); Nicolas Cage, Emma Stone, Ryan Reynolds, Peter Dinklage, Leslie Mann, Kelly Marie Tran, Catherine Keener, Clark Duke, Cloris Leachman",Family Adventure Fantasy Animation
Happiest Season,"Clea DuVall (director/screenplay); Mary Holland (screenplay); Kristen Stewart, Mackenzie Davis, Alison Brie, Aubrey Plaza, Dan Levy, Mary Holland, Victor Garber, Mary Steenburgen",Romance Comedy
Ma Rainey's Black Bottom,"George C. Wolfe (director); Ruben Santiago-Hudson (screenplay); Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo, Michael Potts, Jeremy Shamos, Taylour Paige, Dusan Brown, Jonny Coyne",Drama Music
The Christmas Chronicles 2,"Chris Columbus (director/screenplay); Matt Lieberman (screenplay); Kurt Russell, Goldie Hawn, Darby Camp, Julian Dennison, Jazhir Bruno, Judah Lewis, Kimberly Williams-Paisley, Tyrese Gibson",Family Fantasy Adventure Comedy
Uncle Frank,"Alan Ball (director/screenplay); Paul Bettany, Sophia Lillis, Peter Macdissi, Judy Greer, Steve Zahn, Lois Smith, Margo Martindale, Stephen Root",Drama
Folklore: The Long Pond Studio Sessions,"Taylor Swift (director/screenplay); Taylor Swift, Jack Antonoff, Aaron Dessner, Justin Vernon",Music Documentary
Superintelligence,"Ben Falcone (director); Steve Mallory (screenplay); Melissa McCarthy, Bobby Cannavale, Brian Tyree Henry, Jean Smart, James Corden",Comedy Science Fiction Romance
Life in a Year,"Mitja Okorn (director); Jeffrey Addiss, Will Matthews (screenplay); Jaden Smith, Cara Delevingne, Cuba Gooding Jr., Nia Long",Drama Romance
Black Beauty,"Ashley Avis (director/screenplay); Mackenzie Foy, Kate Winslet, Claire Forlani, Fern Deacon, Iain Glen",Drama
The Prom,"Ryan Murphy (director); Chad Beguelin, Bob Martin (screenplay); Meryl Streep, James Corden, Jo Ellen Pellman, Nicole Kidman, Keegan-Michael Key, Andrew Rannells, Ariana DeBose, Kerry Washington",Comedy Music Romance
All My Life,"Marc Meyers (director); Todd Rosenberg (screenplay); Jessica Rothe, Harry Shum Jr., Kyle Allen, Chrissie Fit, Jay Pharoah, Marielle Scott, Keala Settle",Romance Drama
Godmothered,"Sharon Maguire (director); Kari Granlund, Melissa Stack (screenplay); Isla Fisher, Jillian Bell, Santiago Cabrera",Family Fantasy Comedy
Half Brothers,"Luke Greenfield (director); Eduardo Cisneros, Jason Shuman (screenplay); Luis Gerardo Méndez, Connor Del Rio",Comedy Drama
Wander,"April Mullen (director); Tim Doiron (screenplay); Aaron Eckhart, Katheryn Winnick, Heather Graham, Roger Dorman, Tommy Lee Jones",Thriller Crime Mystery
Black Bear,"Lawrence Michael Levine (director/screenplay); Aubrey Plaza, Christopher Abbott, Sarah Gadon",Drama Comedy Thriller
Let Them All Talk,"Steven Soderbergh (director); Deborah Eisenberg (screenplay); Meryl Streep, Candice Bergen, Gemma Chan, Lucas Hedges, Dianne Wiest",Comedy Drama
The Midnight Sky,"George Clooney (director); Mark L. Smith (screenplay); George Clooney, Felicity Jones, David Oyelowo, Tiffany Boone, Demián Bichir, Kyle Chandler, Caoilinn Springall",Science Fiction Drama
Songbird,"Adam Mason (director/screenplay); Simon Boyes (screenplay); KJ Apa, Sofia Carson, Craig Robinson, Bradley Whitford, Peter Stormare, Alexandra Daddario, Paul Walter Hauser, Demi Moore",Thriller Romance Drama Mystery
Wild Mountain Thyme,"John Patrick Shanley (director/screenplay); Emily Blunt, Jamie Dornan, Jon Hamm, Dearbhla Molloy, Christopher Walken",Romance Drama
Safety,"Reginald Hudlin (director); Nick Santora (screenplay); Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, Matthew Glave, James Badge Dale",Family Drama History
Wander Darkly,"Tara Miele (director/screenplay); Sienna Miller, Diego Luna, Beth Grant, Aimee Carrero, Tory Kittles, Vanessa Bayer",Romance Drama
I'm Your Woman,"Julia Hart (director/screenplay); Jordan Horowitz (screenplay); Rachel Brosnahan, Arinzé Kene, Marsha Stephanie Blake, Bill Heck, Frankie Faison",Drama Crime
The Stand In,"Jamie Babbit (director); Sam Bain (screenplay); Drew Barrymore, Michael Zegen, T.J. Miller, Holland Taylor",Comedy
Archenemy,"Adam Egypt Mortimer (director/screenplay); Joe Manganiello, Skylan Brooks, Zolee Griggs, Paul Scheer, Amy Seimetz, Glenn Howerton",Action Thriller Crime Science Fiction
Farewell Amor,"Ekwa Msangi (director/screenplay); Ntare Mwine, Zainab Jah, Jayme Lawson, Joie Lee",Romance Drama
Monster Hunter,"Paul W. S. Anderson (director/screenplay); Milla Jovovich, Tony Jaa, Tip ""T.I."" Harris, Meagan Good, Diego Boneta, Josh Helman, Jin Au-Yeung, Ron Perlman",Fantasy Action Adventure
Greenland,"Ric Roman Waugh (director); Chris Sparling (screenplay); Gerard Butler, Morena Baccarin, Roger Dale Floyd, David Denman, Hope Davis, Scott Glenn",Action Thriller Science Fiction
Fatale,"Deon Taylor (director); David Loughery (screenplay); Hilary Swank, Michael Ealy, Mike Colter, Geoffrey Owens, Denise Dowse",Thriller
Skylines,"Liam O'Donnell (director/screenplay); Lindsey Morgan, Jonathan Howard, Daniel Bernhardt, Rhona Mitra, James Cosmo, Alexander Siddig",Science Fiction Action
Hunter Hunter,"Shawn Linden (director/screenplay); Devon Sawa, Camille Sullivan, Nick Stahl, Summer H. Howell",Horror Thriller
"Ariana Grande: Excuse Me, I Love You",Paul Dugdale (director); Ariana Grande,Music Documentary
Sylvie's Love,"Eugene Ashe (director/screenplay); Tessa Thompson, Nnamdi Asomugha, Ryan Michelle Bathe, Aja Naomi King, Eva Longoria",Drama Romance
Wonder Woman 1984,"Patty Jenkins (director/screenplay); Geoff Johns, David Callaham (screenplay); Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal, Robin Wright, Connie Nielsen",Fantasy Action Adventure
Soul,"Pete Docter (director/screenplay); Mike Jones, Kemp Powers (screenplay); Jamie Foxx, Tina Fey, Graham Norton, Rachel House, Alice Braga, Richard Ayoade, Phylicia Rashad, Donnell Rawlings, Questlove, Angela Bassett",Family Animation Comedy Drama Music Fantasy
We Can Be Heroes,"Robert Rodriguez (director/screenplay); Priyanka Chopra Jonas, Pedro Pascal, YaYa Gosselin, Boyd Holbrook, Adriana Barraza, Haley Reinhart, Sung Kang, Taylor Dooley, Christian Slater",Action Fantasy Family Drama Comedy
News of the World,"Paul Greengrass (director/screenplay); Luke Davies (screenplay); Tom Hanks, Helena Zengel",Action Adventure Drama Western
One Night in Miami,"Regina King (director); Kemp Powers (screenplay); Kingsley Ben-Adir, Eli Goree, Aldis Hodge, Leslie Odom Jr., Lance Reddick, Joaquina Kalukango, Nicolette Robinson, Beau Bridges, Lance Reddick",Drama
Promising Young Woman,"Emerald Fennell (director/screenplay); Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown, Jennifer Coolidge, Laverne Cox, Connie Britton",Thriller Crime Drama
Pieces of a Woman,"Kornél Mundruczó (director); Kata Wéber (screenplay); Vanessa Kirby, Shia LaBeouf, Molly Parker, Sarah Snook, Iliza Shlesinger, Benny Safdie, Jimmie Fails, Ellen Burstyn",Drama
